# Created by ield								
# On 11,11,2020								
# unit: meters								
# design frequency: 60000000 Hz								
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
12,7	-0.0073652	0.0051348	0	1	-85.9278	0	0	0
12,8	-0.0048652	0.0051348	0	1	-83.6293	0	0	0
12,9	-0.0023652	0.0051348	0	1	-81.3308	0	0	0
12,10	0.00013482	0.0051348	0	1	-79.0322	0	0	0
12,11	0.0026348	0.0051348	0	1	-76.7337	0	0	0
12,12	0.0051348	0.0051348	0	1	-74.4352	0	0	0
12,13	0.0076348	0.0051348	0	1	-72.1366	0	0	0
12,14	0.010135	0.0051348	0	0	-69.8381	0	0	0
12,15	0.012635	0.0051348	0	1	-67.5395	0	0	0
12,16	0.015135	0.0051348	0	1	-65.241	0	0	0
12,17	0.017635	0.0051348	0	1	-62.9425	0	0	0
12,18	0.020135	0.0051348	0	1	-60.6439	0	0	0
13,1	-0.022365	0.0076348	0	1	-107.3205	0	0	0
13,2	-0.019865	0.0076348	0	1	-104.122	0	0	0
13,3	-0.017365	0.0076348	0	0	-100.9234	0	0	0
13,4	-0.014865	0.0076348	0	1	-97.7249	0	0	0
13,5	-0.012365	0.0076348	0	0	-94.5264	0	0	0
13,6	-0.0098652	0.0076348	0	1	-91.3278	0	0	0
13,7	-0.0073652	0.0076348	0	1	-88.1293	0	0	0
13,8	-0.0048652	0.0076348	0	1	-84.9308	0	0	0
13,9	-0.0023652	0.0076348	0	1	-81.7322	0	0	0
13,10	0.00013482	0.0076348	0	1	-78.5337	0	0	0
13,11	0.0026348	0.0076348	0	0	-75.3352	0	0	0
13,12	0.0051348	0.0076348	0	1	-72.1366	0	0	0
13,13	0.0076348	0.0076348	0	1	-68.9381	0	0	0
13,14	0.010135	0.0076348	0	1	-65.7395	0	0	0
13,15	0.012635	0.0076348	0	1	-62.541	0	0	0
13,16	0.015135	0.0076348	0	1	-59.3425	0	0	0
13,17	0.017635	0.0076348	0	0	-56.1439	0	0	0
13,18	0.020135	0.0076348	0	0	-52.9454	0	0	0
14,1	-0.022365	0.010135	0	0	-114.922	0	0	0
14,2	-0.019865	0.010135	0	1	-110.8234	0	0	0
14,3	-0.017365	0.010135	0	1	-106.7249	0	0	0
14,4	-0.014865	0.010135	0	1	-102.6264	0	0	0
14,5	-0.012365	0.010135	0	1	-98.5278	0	0	0
14,6	-0.0098652	0.010135	0	1	-94.4293	0	0	0
14,7	-0.0073652	0.010135	0	1	-90.3308	0	0	0
14,8	-0.0048652	0.010135	0	0	-86.2322	0	0	0
14,9	-0.0023652	0.010135	0	1	-82.1337	0	0	0
14,10	0.00013482	0.010135	0	1	-78.0352	0	0	0
14,11	0.0026348	0.010135	0	0	-73.9366	0	0	0
14,12	0.0051348	0.010135	0	1	-69.8381	0	0	0
14,13	0.0076348	0.010135	0	1	-65.7395	0	0	0
14,14	0.010135	0.010135	0	1	-61.641	0	0	0
14,15	0.012635	0.010135	0	1	-57.5425	0	0	0
14,16	0.015135	0.010135	0	1	-53.4439	0	0	0
14,17	0.017635	0.010135	0	1	-49.3454	0	0	0
14,18	0.020135	0.010135	0	1	-45.2469	0	0	0
15,1	-0.022365	0.012635	0	1	-122.5234	0	0	0
15,2	-0.019865	0.012635	0	0	-117.5249	0	0	0
15,3	-0.017365	0.012635	0	1	-112.5264	0	0	0
15,4	-0.014865	0.012635	0	1	-107.5278	0	0	0
15,5	-0.012365	0.012635	0	1	-102.5293	0	0	0
15,6	-0.0098652	0.012635	0	1	-97.5308	0	0	0
15,7	-0.0073652	0.012635	0	1	-92.5322	0	0	0
15,8	-0.0048652	0.012635	0	1	-87.5337	0	0	0
15,9	-0.0023652	0.012635	0	1	-82.5352	0	0	0
15,10	0.00013482	0.012635	0	1	-77.5366	0	0	0
15,11	0.0026348	0.012635	0	0	-72.5381	0	0	0
15,12	0.0051348	0.012635	0	1	-67.5395	0	0	0
15,13	0.0076348	0.012635	0	1	-62.541	0	0	0
15,14	0.010135	0.012635	0	1	-57.5425	0	0	0
15,15	0.012635	0.012635	0	1	-52.5439	0	0	0
15,16	0.015135	0.012635	0	0	-47.5454	0	0	0
15,17	0.017635	0.012635	0	1	-42.5469	0	0	0
15,18	0.020135	0.012635	0	1	-37.5483	0	0	0
16,1	-0.022365	0.015135	0	1	-130.1249	0	0	0
16,2	-0.019865	0.015135	0	0	-124.2264	0	0	0
16,3	-0.017365	0.015135	0	0	-118.3278	0	0	0
16,4	-0.014865	0.015135	0	1	-112.4293	0	0	0
16,5	-0.012365	0.015135	0	1	-106.5308	0	0	0
16,6	-0.0098652	0.015135	0	1	-100.6322	0	0	0
16,7	-0.0073652	0.015135	0	0	-94.7337	0	0	0
16,8	-0.0048652	0.015135	0	1	-88.8352	0	0	0
16,9	-0.0023652	0.015135	0	1	-82.9366	0	0	0
16,10	0.00013482	0.015135	0	1	-77.0381	0	0	0
16,11	0.0026348	0.015135	0	0	-71.1395	0	0	0
16,12	0.0051348	0.015135	0	1	-65.241	0	0	0
16,13	0.0076348	0.015135	0	0	-59.3425	0	0	0
16,14	0.010135	0.015135	0	1	-53.4439	0	0	0
16,15	0.012635	0.015135	0	0	-47.5454	0	0	0
16,16	0.015135	0.015135	0	1	-41.6469	0	0	0
16,17	0.017635	0.015135	0	1	-35.7483	0	0	0
16,18	0.020135	0.015135	0	0	-29.8498	0	0	0
17,1	-0.022365	0.017635	0	1	-137.7264	0	0	0
17,2	-0.019865	0.017635	0	1	-130.9278	0	0	0
17,3	-0.017365	0.017635	0	1	-124.1293	0	0	0
17,4	-0.014865	0.017635	0	1	-117.3308	0	0	0
17,5	-0.012365	0.017635	0	1	-110.5322	0	0	0
17,6	-0.0098652	0.017635	0	1	-103.7337	0	0	0
17,7	-0.0073652	0.017635	0	1	-96.9352	0	0	0
17,8	-0.0048652	0.017635	0	0	-90.1366	0	0	0
17,9	-0.0023652	0.017635	0	0	-83.3381	0	0	0
17,10	0.00013482	0.017635	0	1	-76.5395	0	0	0
17,11	0.0026348	0.017635	0	1	-69.741	0	0	0
17,12	0.0051348	0.017635	0	1	-62.9425	0	0	0
17,13	0.0076348	0.017635	0	1	-56.1439	0	0	0
17,14	0.010135	0.017635	0	1	-49.3454	0	0	0
17,15	0.012635	0.017635	0	0	-42.5469	0	0	0
17,16	0.015135	0.017635	0	1	-35.7483	0	0	0
17,17	0.017635	0.017635	0	1	-28.9498	0	0	0
17,18	0.020135	0.017635	0	1	-22.1513	0	0	0
18,1	-0.022365	0.020135	0	1	-145.3278	0	0	0
18,2	-0.019865	0.020135	0	0	-137.6293	0	0	0
18,3	-0.017365	0.020135	0	0	-129.9308	0	0	0
18,4	-0.014865	0.020135	0	0	-122.2322	0	0	0
18,5	-0.012365	0.020135	0	1	-114.5337	0	0	0
18,6	-0.0098652	0.020135	0	1	-106.8352	0	0	0
18,7	-0.0073652	0.020135	0	1	-99.1366	0	0	0
18,8	-0.0048652	0.020135	0	1	-91.4381	0	0	0
18,9	-0.0023652	0.020135	0	1	-83.7395	0	0	0
18,10	0.00013482	0.020135	0	1	-76.041	0	0	0
18,11	0.0026348	0.020135	0	1	-68.3425	0	0	0
18,12	0.0051348	0.020135	0	1	-60.6439	0	0	0
18,13	0.0076348	0.020135	0	1	-52.9454	0	0	0
18,14	0.010135	0.020135	0	1	-45.2469	0	0	0
18,15	0.012635	0.020135	0	0	-37.5483	0	0	0
18,16	0.015135	0.020135	0	1	-29.8498	0	0	0
18,17	0.017635	0.020135	0	1	-22.1513	0	0	0
18,18	0.020135	0.020135	0	0	-14.4527	0	0	0
