#Created by ield								
#On 11,11,2020								
#unit: meters								
#design frequency: 60000000 Hz								
#Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1,1	0	0	0	0.44698	0	0	0	0
1,2	0.0025	0	0	0.45452	0.45	0	0	0
1,3	0.005	0	0	0.47614	0.9	0	0	0
1,4	0.0075	0	0	0.50891	1.35	0	0	0
1,5	0.01	0	0	0.54841	1.8	0	0	0
14,6	0.0125	0.0325	0	0.72303	66.6	0	0	0
14,7	0.015	0.0325	0	0.76814	78.75	0	0	0
14,8	0.0175	0.0325	0	0.80208	90.9	0	0	0
14,9	0.02	0.0325	0	0.82028	103.05	0	0	0
14,10	0.0225	0.0325	0	0.82028	115.2	0	0	0
14,11	0.025	0.0325	0	0.80208	127.35	0	0	0
14,12	0.0275	0.0325	0	0.76814	139.5	0	0	0
14,13	0.03	0.0325	0	0.72303	151.65	0	0	0
14,14	0.0325	0.0325	0	0.67286	163.8	0	0	0
14,15	0.035	0.0325	0	0.6244	175.95	0	0	0
14,16	0.0375	0.0325	0	0.58419	188.1	0	0	0
14,17	0.04	0.0325	0	0.55767	200.25	0	0	0
14,18	0.0425	0.0325	0	0	212.4	0	0	0
15,1	0	0.035	0	0.50891	6.3	0	0	0
15,2	0.0025	0.035	0	0.5175	19.35	0	0	0
15,3	0.005	0.035	0	0.54212	32.4	0	0	0
15,4	0.0075	0.035	0	0.57943	45.45	0	0	0
15,5	0.01	0.035	0	0.6244	58.5	0	0	0
15,6	0.0125	0.035	0	0.67096	71.55	0	0	0
15,7	0.015	0.035	0	0.71281	84.6	0	0	0
15,8	0.0175	0.035	0	0.74431	97.65	0	0	0
15,9	0.02	0.035	0	0.7612	110.7	0	0	0
15,10	0.0225	0.035	0	0.7612	123.75	0	0	0
15,11	0.025	0.035	0	0.74431	136.8	0	0	0
15,12	0.0275	0.035	0	0.71281	149.85	0	0	0
15,13	0.03	0.035	0	0.67096	162.9	0	0	0
15,14	0.0325	0.035	0	0.6244	175.95	0	0	0
15,15	0.035	0.035	0	0.57943	189	0	0	0
15,16	0.0375	0.035	0	0.54212	202.05	0	0	0
15,17	0.04	0.035	0	0.5175	215.1	0	0	0
15,18	0.0425	0.035	0	0	228.15	0	0	0
16,1	0	0.0375	0	0.47614	6.75	0	0	0
16,2	0.0025	0.0375	0	0.48418	20.7	0	0	0
16,3	0.005	0.0375	0	0.50721	34.65	0	0	0
16,4	0.0075	0.0375	0	0.54212	48.6	0	0	0
16,5	0.01	0.0375	0	0.58419	62.55	0	0	0
16,6	0.0125	0.0375	0	0.62775	76.5	0	0	0
16,7	0.015	0.0375	0	0.66691	90.45	0	0	0
16,8	0.0175	0.0375	0	0.69638	104.4	0	0	0
16,9	0.02	0.0375	0	0.71219	118.35	0	0	0
16,10	0.0225	0.0375	0	0.71219	132.3	0	0	0
16,11	0.025	0.0375	0	0.69638	146.25	0	0	0
16,12	0.0275	0.0375	0	0.66691	160.2	0	0	0
16,13	0.03	0.0375	0	0.62775	174.15	0	0	0
16,14	0.0325	0.0375	0	0.58419	188.1	0	0	0
16,15	0.035	0.0375	0	0.54212	202.05	0	0	0
16,16	0.0375	0.0375	0	0.50721	216	0	0	0
16,17	0.04	0.0375	0	0.48418	229.95	0	0	0
16,18	0.0425	0.0375	0	0	243.9	0	0	0
17,1	0	0.04	0	0.45452	7.2	0	0	0
17,2	0.0025	0.04	0	0.4622	22.05	0	0	0
17,3	0.005	0.04	0	0.48418	36.9	0	0	0
17,4	0.0075	0.04	0	0.5175	51.75	0	0	0
17,5	0.01	0.04	0	0.55767	66.6	0	0	0
17,6	0.0125	0.04	0	0.59925	81.45	0	0	0
17,7	0.015	0.04	0	0.63663	96.3	0	0	0
17,8	0.0175	0.04	0	0.66477	111.15	0	0	0
17,9	0.02	0.04	0	0.67985	126	0	0	0
17,10	0.0225	0.04	0	0.67985	140.85	0	0	0
17,11	0.025	0.04	0	0.66477	155.7	0	0	0
17,12	0.0275	0.04	0	0.63663	170.55	0	0	0
17,13	0.03	0.04	0	0.59925	185.4	0	0	0
17,14	0.0325	0.04	0	0.55767	200.25	0	0	0
17,15	0.035	0.04	0	0.5175	215.1	0	0	0
17,16	0.0375	0.04	0	0.48418	229.95	0	0	0
